采购订单号,供应商代码,供应商名称,供应商等级,物料代码,物料名称,类型,单位,订单数量,单价,总金额,下单日期,预计交付日期,实际交付日期,状态,交期天数,备注
PO2026060038,SUP032,南宁南国电子,C级,M0160,MOSFET NMOS v3,半成品,颗,500,30.28,15140,2026/6/13,2026/6/26,2026/6/28,已完成,13,13
PO2026060014,SUP031,昆明昆电科技,B级,M0062,扬声器 3W,原材料,个,500,21.18,10590,2026/6/22,2026/7/3,2026/7/4,部分到货,11,11
PO2026060004,SUP035,乌鲁木齐天山科技,B级,M0014,LoRa模块,原材料,个,200,22.83,4566,2026/5/8,2026/5/23,,已确认,15,15
PO2026060012,SUP017,宁波华通电子,B级,M0056,弹簧 压缩,原材料,个,264,100.72,26590.08,2026/4/12,2026/4/30,,已下达,18,18
PO2026060043,SUP026,沈阳航天电子,B级,M0181,螺丝 M3*8 不锈钢 v3,半成品,颗,2000,21.05,42100,2026/2/7,2026/2/22,2026/2/27,已完成,15,15
PO2026060047,SUP033,海口南海科技,B级,M0196,PCB主板 v4,半成品,块,500,61.08,30540,2026/4/12,2026/5/3,,已下达,21,21
PO2026060030,SUP016,佛山顺德塑胶,A级,M0121,磁铁 钕磁铁 10x2mm v2,原材料,片,140,47.81,6693.4,2026/5/18,2026/5/25,,已下达,7,7
PO2026060001,SUP023,济南恒泰科技,B级,M0002,PC透明罩,原材料,个,2000,58.34,116680,2026/3/19,2026/3/30,,已下达,11,11
PO2026060010,SUP008,武汉华工科技,B级,M0049,纽扣电池 CR2032,原材料,颗,500,7.52,3760,2026/6/20,2026/7/3,2026/7/4,部分到货,13,13
PO2026060017,SUP026,沈阳航天电子,B级,M0072,ARM Cortex-A35芯片 v2,原材料,片,500,5.51,2755,2026/6/1,2026/6/15,,已确认,14,14
PO2026060018,SUP006,杭州明远科技,B级,M0077,Zigbee模块 v2,原材料,个,1000,115.22,115220,2026/5/29,2026/6/20,2026/6/24,部分到货,22,22
PO2026060007,SUP020,福州东南电子,B级,M0029,晶振 24MHz,原材料,颗,156,21.56,3363.36,2026/5/8,2026/6/1,,已下达,24,24
PO2026060050,SUP037,银川西夏科技,B级,P0034,智能扫地机器人,成品,台,140,1567.89,219504.6,2026/5/30,2026/6/20,2026/6/17,已完成,21,21
PO2026060008,SUP022,郑州中原电子,C级,M0032,MOSFET NMOS,原材料,颗,2000,61.15,122300,2026/4/13,2026/4/25,,已确认,12,12
PO2026060035,SUP011,天津北方电子,A级,M0139,WiFi模块 802.11ac v3,原材料,个,276,17.07,4711.32,2026/4/22,2026/5/17,2026/5/17,已完成,25,25
PO2026060016,SUP021,西安华创科技,A级,M0071,ARM Cortex-A53芯片 v2,原材料,片,144,99.92,14388.48,2026/5/2,2026/5/20,,已下达,18,18
PO2026060040,SUP004,广州恒达金属,C级,M0171,传感器模块 陀螺仪 v3,半成品,个,200,98.01,19602,2026/6/29,2026/7/6,2026/7/7,已完成,7,7
PO2026060003,SUP005,苏州佳美电子,A级,M0007,ARM Cortex-A53芯片,原材料,片,252,64.73,16311.96,2026/5/31,2026/6/16,,已下达,16,16
PO2026060025,SUP009,成都科创电子,C级,M0105,传感器模块 温湿度 v2,原材料,个,500,76.57,38285,2026/3/15,2026/4/9,,已确认,25,25
PO2026060039,SUP019,合肥创新科技,C级,M0163,包装彩盒(小) v3,半成品,个,140,43.54,6095.6,2026/2/18,2026/3/1,,已下达,11,11
PO2026060048,SUP004,广州恒达金属,C级,M0197,PCB副板 v4,半成品,块,1000,68.69,68690,2026/5/5,2026/5/16,,草稿,11,11
PO2026060041,SUP018,无锡精密机械,A级,M0175,锂电池 18650 v3,半成品,节,200,36.17,7234,2026/5/7,2026/5/30,,草稿,23,23
PO2026060009,SUP001,深圳华腾电子,A级,M0044,显示屏 OLED 0.96寸,原材料,块,140,66.91,9367.4,2026/5/29,2026/6/22,,已下达,24,24
PO2026060026,SUP008,武汉华工科技,B级,M0109,显示屏 TFT 2.4寸 v2,原材料,块,1000,89.43,89430,2026/6/9,2026/6/25,,已下达,16,16
PO2026060020,SUP010,重庆渝兴机械,B级,M0086,电解电容 220μF v2,原材料,颗,300,39.61,11883,2026/5/11,2026/6/5,2026/6/6,部分到货,25,25
PO2026060032,SUP029,南昌华翔电子,A级,M0134,FPC柔性排线 v3,原材料,根,252,66.79,16831.08,2026/4/8,2026/4/21,2026/4/18,部分到货,13,13
PO2026060005,SUP035,乌鲁木齐天山科技,B级,M0015,电源模块 5V2A,原材料,个,228,70.12,15987.36,2026/1/1,2026/1/18,,已下达,17,17
PO2026060028,SUP023,济南恒泰科技,B级,M0114,继电器 5V v2,原材料,个,1000,43.92,43920,2026/3/24,2026/4/6,,已确认,13,13
PO2026060019,SUP036,兰州黄河电子,A级,M0081,电源模块 24V2A v2,原材料,个,1000,89.89,89890,2026/4/23,2026/5/3,,已下达,10,10
PO2026060036,SUP021,西安华创科技,A级,M0140,蓝牙模块 BLE5.2 v3,原材料,个,500,18.93,9465,2026/4/30,2026/5/7,2026/5/10,部分到货,7,7
PO2026060022,SUP026,沈阳航天电子,B级,M0095,TVS保护二极管 v2,原材料,颗,1000,91.56,91560,2026/1/4,2026/1/11,,已下达,7,7
PO2026060034,SUP019,合肥创新科技,C级,M0138,DSP处理器 v3,原材料,片,300,21.69,6507,2026/3/28,2026/4/6,,草稿,9,9
PO2026060013,SUP008,武汉华工科技,B级,M0059,RFID标签 无源,原材料,个,2000,23.84,47680,2026/1/3,2026/1/19,2026/1/19,已完成,16,16
PO2026060051,SUP019,合肥创新科技,C级,M0047,锂电池 18650,原材料,片,637,11.67,7433.79,2026/2/25,2026/3/17,,已确认,20,20
PO2026060052,SUP027,石家庄华北科技,C级,M0015,电源模块 5V2A,原材料,个,1799,32.05,57657.95,2026/3/18,2026/3/27,2026/3/30,部分到货,9,9
PO2026060053,SUP003,上海精密机械,A级,M0043,传感器模块 陀螺仪,原材料,个,7228,3.33,24069.24,2026/5/21,2026/6/5,2026/6/6,部分到货,15,15
PO2026060054,SUP036,兰州黄河电子,A级,M0020,LED驱动器,原材料,块,5462,107.83,588967.46,2026/5/24,2026/6/16,,已下达,23,23
PO2026060055,SUP026,沈阳航天电子,B级,M0012,蓝牙模块 BLE5.2,原材料,颗,7840,1.37,10740.8,2026/6/17,2026/7/12,,已下达,25,25
PO2026060056,SUP014,厦门恒信光电,A级,M0023,钽电容 10μF,原材料,颗,4110,0.03,123.3,2026/1/24,2026/2/14,2026/2/19,已完成,21,21
PO2026060057,SUP005,苏州佳美电子,A级,M0014,LoRa模块,原材料,片,337,46.55,15687.35,2026/2/23,2026/3/15,2026/3/12,已完成,20,20
PO2026060058,SUP033,海口南海科技,B级,M0043,传感器模块 陀螺仪,原材料,个,5275,3.96,20889,2026/2/23,2026/3/19,2026/3/23,已完成,24,24
PO2026060059,SUP026,沈阳航天电子,B级,M0023,钽电容 10μF,原材料,颗,5429,0.03,162.87,2026/3/25,2026/4/15,,已确认,21,21
PO2026060060,SUP004,广州恒达金属,C级,M0023,钽电容 10μF,原材料,颗,5327,0.03,159.81,2026/2/14,2026/2/23,,已确认,9,9
PO2026060061,SUP008,武汉华工科技,B级,M0022,电解电容 220μF,原材料,个,7056,0.5,3528,2026/3/28,2026/4/12,,已下达,15,15
PO2026060062,SUP037,银川西夏科技,B级,M0037,EVA衬垫,原材料,片,1414,11.42,16147.88,2026/3/3,2026/3/22,2026/3/25,部分到货,19,19
PO2026060063,SUP017,宁波华通电子,B级,M0038,电源线 1.5m,原材料,块,4437,33.66,149349.42,2026/6/13,2026/6/23,,已下达,10,10
PO2026060064,SUP022,郑州中原电子,C级,M0017,电源模块 24V2A,原材料,个,4797,77.78,373110.66,2026/2/26,2026/3/23,,已确认,25,25
PO2026060065,SUP031,昆明昆电科技,B级,M0014,LoRa模块,原材料,片,3060,41.31,126408.6,2026/5/19,2026/6/5,2026/6/4,已完成,17,17
PO2026060066,SUP037,银川西夏科技,B级,M0003,铝合金散热片,原材料,片,3128,71.05,222244.4,2026/3/10,2026/3/22,,已确认,12,12
PO2026060067,SUP025,长春一汽配件,A级,M0018,LED灯珠 RGB,原材料,节,7468,72.85,544043.8,2026/1/7,2026/1/29,,已确认,22,22
PO2026060068,SUP020,福州东南电子,B级,M0015,电源模块 5V2A,原材料,个,2538,31.5,79947,2026/6/16,2026/6/29,,已确认,13,13
PO2026060069,SUP009,成都科创电子,C级,M0005,PCB副板,原材料,颗,7619,0.02,152.38,2026/3/9,2026/3/28,2026/3/30,部分到货,19,19
PO2026060070,SUP034,呼和浩特北方电子,C级,M0035,包装彩盒(小),原材料,个,5977,44.93,268546.61,2026/5/27,2026/6/16,2026/6/20,部分到货,20,20
PO2026060071,SUP026,沈阳航天电子,B级,M0046,触摸面板 电容式,原材料,块,503,57.65,28997.95,2026/5/15,2026/6/9,,已下达,25,25
PO2026060072,SUP007,南京盛达光电,A级,M0039,电源线 3m,原材料,块,2905,114.97,333987.85,2026/4/20,2026/5/15,2026/5/12,已完成,25,25
PO2026060073,SUP005,苏州佳美电子,A级,M0049,纽扣电池 CR2032,原材料,卷,4456,25.24,112469.44,2026/6/9,2026/6/24,,已确认,15,15
PO2026060074,SUP015,长沙中联科技,B级,M0007,ARM Cortex-A53芯片,原材料,罐,1286,137.68,177056.48,2026/1/9,2026/1/20,,已下达,11,11
PO2026060075,SUP022,郑州中原电子,C级,M0002,PC透明罩,原材料,个,2554,59.98,153188.92,2026/3/13,2026/3/24,2026/3/29,部分到货,11,11
PO2026060076,SUP003,上海精密机械,A级,M0006,FPC柔性排线,原材料,米,6088,0.8,4870.4,2026/3/8,2026/3/15,,已下达,7,7
PO2026060077,SUP001,深圳华腾电子,A级,M0001,ABS塑料外壳,原材料,个,7808,123.3,962726.4,2026/6/26,2026/7/12,,已下达,16,16
PO2026060078,SUP035,乌鲁木齐天山科技,B级,M0034,包装彩盒(中),原材料,个,1033,1.36,1404.88,2026/6/5,2026/6/25,2026/6/30,已完成,20,20
PO2026060079,SUP031,昆明昆电科技,B级,M0004,PCB主板,原材料,块,2349,39.54,92879.46,2026/3/8,2026/3/28,2026/4/1,部分到货,20,20
PO2026060080,SUP028,太原重工机械,B级,M0038,电源线 1.5m,原材料,块,2513,37.8,94991.4,2026/4/18,2026/5/4,,已下达,16,16
PO2026060081,SUP029,南昌华翔电子,A级,M0011,WiFi模块 802.11ac,原材料,颗,3774,0.4,1509.6,2026/6/25,2026/7/3,,已确认,8,8
PO2026060082,SUP004,广州恒达金属,C级,M0041,传感器模块 温湿度,原材料,片,5852,30.09,176086.68,2026/2/1,2026/2/25,,已下达,24,24
PO2026060083,SUP004,广州恒达金属,C级,M0025,贴片电阻 1kΩ,原材料,个,7506,2.66,19965.96,2026/3/12,2026/4/2,,已确认,21,21
PO2026060084,SUP008,武汉华工科技,B级,M0015,电源模块 5V2A,原材料,个,4708,29.31,137991.48,2026/1/20,2026/2/3,,已下达,14,14
PO2026060085,SUP037,银川西夏科技,B级,M0039,电源线 3m,原材料,块,7491,124.92,935775.72,2026/1/18,2026/2/8,,已确认,21,21
PO2026060086,SUP013,青岛海润电子,C级,M0013,Zigbee模块,原材料,颗,5167,0.14,723.38,2026/5/13,2026/5/28,2026/6/1,已完成,15,15
PO2026060087,SUP015,长沙中联科技,B级,M0028,晶振 32.768kHz,原材料,根,2435,0.57,1387.95,2026/2/14,2026/2/25,2026/2/24,部分到货,11,11
PO2026060088,SUP012,大连远东科技,B级,M0041,传感器模块 温湿度,原材料,片,353,26.63,9400.39,2026/5/23,2026/6/16,2026/6/13,已完成,24,24
PO2026060089,SUP010,重庆渝兴机械,B级,M0050,继电器 5V,原材料,m²,7194,19.36,139275.84,2026/2/5,2026/2/20,,已下达,15,15
PO2026060090,SUP027,石家庄华北科技,C级,M0003,铝合金散热片,原材料,片,5897,57.71,340315.87,2026/6/14,2026/6/24,2026/6/29,已完成,10,10
PO2026060091,SUP024,哈尔滨北方机械,C级,M0034,包装彩盒(中),原材料,个,7789,1.42,11060.38,2026/1/29,2026/2/21,2026/2/24,部分到货,23,23
PO2026060092,SUP023,济南恒泰科技,B级,M0049,纽扣电池 CR2032,原材料,卷,1489,23.83,35482.87,2026/2/25,2026/3/10,,已确认,13,13
PO2026060093,SUP019,合肥创新科技,C级,M0038,电源线 1.5m,原材料,块,6318,38.05,240399.9,2026/2/11,2026/2/27,2026/2/27,已完成,16,16
PO2026060094,SUP033,海口南海科技,B级,M0028,晶振 32.768kHz,原材料,根,4672,0.54,2522.88,2026/1/8,2026/1/27,2026/1/27,已完成,19,19
PO2026060095,SUP031,昆明昆电科技,B级,M0020,LED驱动器,原材料,块,2100,93.59,196539,2026/6/12,2026/6/26,,已下达,14,14
PO2026060096,SUP034,呼和浩特北方电子,C级,M0001,ABS塑料外壳,原材料,个,1667,125.15,208625.05,2026/4/15,2026/4/27,,已确认,12,12
PO2026060097,SUP015,长沙中联科技,B级,M0043,传感器模块 陀螺仪,原材料,个,2237,3.33,7449.21,2026/2/6,2026/2/20,,已确认,14,14
PO2026060098,SUP036,兰州黄河电子,A级,M0009,MCU STM32F103,原材料,颗,3810,0.01,38.1,2026/3/18,2026/4/12,2026/4/9,部分到货,25,25
PO2026060099,SUP035,乌鲁木齐天山科技,B级,M0041,传感器模块 温湿度,原材料,片,3369,30,101070,2026/4/6,2026/4/14,,已确认,8,8
PO2026060100,SUP005,苏州佳美电子,A级,M0035,包装彩盒(小),原材料,个,3784,40.99,155106.16,2026/4/21,2026/5/7,,已确认,16,16
PO2026060101,SUP017,宁波华通电子,B级,M0012,蓝牙模块 BLE5.2,原材料,颗,4505,1.18,5315.9,2026/3/20,2026/4/10,,已确认,21,21
PO2026060102,SUP036,兰州黄河电子,A级,M0032,MOSFET NMOS,原材料,个,6605,3.54,23381.7,2026/4/25,2026/5/15,2026/5/17,已完成,20,20
PO2026060103,SUP037,银川西夏科技,B级,M0042,传感器模块 气压,原材料,片,3313,5.68,18817.84,2026/4/12,2026/4/27,,已下达,15,15
PO2026060104,SUP028,太原重工机械,B级,M0027,电感器 10μH,原材料,个,7401,23.18,171555.18,2026/4/9,2026/4/20,,已下达,11,11
PO2026060105,SUP029,南昌华翔电子,A级,M0011,WiFi模块 802.11ac,原材料,颗,2667,0.35,933.45,2026/4/3,2026/4/11,,已确认,8,8
PO2026060106,SUP024,哈尔滨北方机械,C级,M0008,ARM Cortex-A35芯片,原材料,支,4284,15.69,67215.96,2026/1/4,2026/1/15,,已下达,11,11
PO2026060107,SUP004,广州恒达金属,C级,M0014,LoRa模块,原材料,片,1919,52.05,99883.95,2026/2/4,2026/2/26,2026/3/2,部分到货,22,22
PO2026060108,SUP021,西安华创科技,A级,M0016,电源模块 12V1A,原材料,个,5873,18.72,109942.56,2026/3/21,2026/4/2,2026/3/30,已完成,12,12
PO2026060109,SUP009,成都科创电子,C级,M0014,LoRa模块,原材料,片,6696,41.07,275004.72,2026/5/16,2026/6/4,2026/6/6,已完成,19,19
PO2026060110,SUP031,昆明昆电科技,B级,M0033,包装彩盒(大),原材料,条,4138,0.87,3600.06,2026/5/9,2026/5/30,,已下达,21,21
PO2026060111,SUP018,无锡精密机械,A级,M0035,包装彩盒(小),原材料,个,604,45.7,27602.8,2026/5/3,2026/5/24,,已下达,21,21
PO2026060112,SUP021,西安华创科技,A级,M0047,锂电池 18650,原材料,片,7907,11.56,91404.92,2026/3/4,2026/3/28,2026/3/28,已完成,24,24
PO2026060113,SUP017,宁波华通电子,B级,M0015,电源模块 5V2A,原材料,个,7194,25.52,183590.88,2026/6/8,2026/6/29,2026/6/30,部分到货,21,21
PO2026060114,SUP035,乌鲁木齐天山科技,B级,M0011,WiFi模块 802.11ac,原材料,颗,5835,0.32,1867.2,2026/5/9,2026/5/29,,已下达,20,20
PO2026060115,SUP007,南京盛达光电,A级,M0001,ABS塑料外壳,原材料,个,5364,126.18,676829.52,2026/4/7,2026/4/14,,已下达,7,7
PO2026060116,SUP023,济南恒泰科技,B级,M0018,LED灯珠 RGB,原材料,节,257,67.34,17306.38,2026/4/27,2026/5/20,2026/5/22,已完成,23,23
PO2026060117,SUP012,大连远东科技,B级,M0031,TVS保护二极管,原材料,只,2998,0.6,1798.8,2026/2/8,2026/3/2,,已下达,22,22
PO2026060118,SUP035,乌鲁木齐天山科技,B级,M0016,电源模块 12V1A,原材料,个,3095,19.58,60600.1,2026/6/25,2026/7/19,,已确认,24,24
PO2026060119,SUP023,济南恒泰科技,B级,M0043,传感器模块 陀螺仪,原材料,个,6079,3.49,21215.71,2026/4/21,2026/5/16,2026/5/19,已完成,25,25
PO2026060120,SUP030,贵阳西南科技,C级,M0024,贴片电阻 10kΩ,原材料,颗,3340,0.08,267.2,2026/4/27,2026/5/6,,已确认,9,9
PO2026060121,SUP013,青岛海润电子,C级,M0028,晶振 32.768kHz,原材料,根,6372,0.46,2931.12,2026/1/18,2026/1/30,2026/2/4,已完成,12,12
PO2026060122,SUP026,沈阳航天电子,B级,M0040,USB数据线 Type-C,原材料,片,4557,9.49,43245.93,2026/2/4,2026/2/16,,已下达,12,12
PO2026060123,SUP031,昆明昆电科技,B级,M0022,电解电容 220μF,原材料,个,5486,0.5,2743,2026/4/8,2026/4/22,,已确认,14,14
PO2026060124,SUP018,无锡精密机械,A级,M0009,MCU STM32F103,原材料,颗,6891,0.01,68.91,2026/4/6,2026/4/15,,草稿,9,9
PO2026060125,SUP007,南京盛达光电,A级,M0027,电感器 10μH,原材料,个,5859,21.77,127550.43,2026/4/23,2026/5/18,2026/5/15,部分到货,25,25
PO2026060126,SUP033,海口南海科技,B级,M0044,显示屏 OLED 0.96寸,原材料,个,5979,8.36,49984.44,2026/5/19,2026/6/10,2026/6/10,已完成,22,22
PO2026060127,SUP008,武汉华工科技,B级,M0024,贴片电阻 10kΩ,原材料,颗,7671,0.08,613.68,2026/3/23,2026/4/9,,已下达,17,17
PO2026060128,SUP024,哈尔滨北方机械,C级,M0039,电源线 3m,原材料,块,6106,119.75,731193.5,2026/1/24,2026/2/10,2026/2/14,部分到货,17,17
PO2026060129,SUP030,贵阳西南科技,C级,M0034,包装彩盒(中),原材料,个,7775,1.64,12751,2026/2/21,2026/3/10,,已下达,17,17
PO2026060130,SUP036,兰州黄河电子,A级,M0038,电源线 1.5m,原材料,块,6473,34.37,222477.01,2026/6/17,2026/7/9,2026/7/10,已完成,22,22
PO2026060131,SUP033,海口南海科技,B级,M0029,晶振 24MHz,原材料,颗,3247,0.15,487.05,2026/3/3,2026/3/27,,已下达,24,24
PO2026060132,SUP002,东莞鑫盛塑胶,B级,M0022,电解电容 220μF,原材料,个,2469,0.47,1160.43,2026/4/9,2026/4/20,2026/4/20,已完成,11,11
PO2026060133,SUP018,无锡精密机械,A级,M0030,整流二极管,原材料,颗,3741,0.29,1084.89,2026/2/3,2026/2/24,,已下达,21,21
PO2026060134,SUP012,大连远东科技,B级,M0038,电源线 1.5m,原材料,块,2045,34.15,69836.75,2026/2/28,2026/3/22,,草稿,22,22
PO2026060135,SUP006,杭州明远科技,B级,M0044,显示屏 OLED 0.96寸,原材料,个,7211,8.88,64033.68,2026/4/15,2026/4/25,,已确认,10,10
PO2026060136,SUP008,武汉华工科技,B级,M0047,锂电池 18650,原材料,片,4768,11.08,52829.44,2026/6/4,2026/6/22,2026/6/26,部分到货,18,18
PO2026060137,SUP035,乌鲁木齐天山科技,B级,M0014,LoRa模块,原材料,片,1971,48.76,96105.96,2026/3/2,2026/3/20,,已下达,18,18
PO2026060138,SUP022,郑州中原电子,C级,M0013,Zigbee模块,原材料,颗,350,0.12,42,2026/6/18,2026/7/11,2026/7/12,部分到货,23,23
PO2026060139,SUP030,贵阳西南科技,C级,M0050,继电器 5V,原材料,m²,6352,17.35,110207.2,2026/3/29,2026/4/20,,已确认,22,22
PO2026060140,SUP014,厦门恒信光电,A级,M0039,电源线 3m,原材料,块,4527,127.63,577781.01,2026/6/6,2026/6/23,2026/6/25,部分到货,17,17
PO2026060141,SUP036,兰州黄河电子,A级,M0041,传感器模块 温湿度,原材料,片,6500,30.03,195195,2026/2/9,2026/2/23,,已下达,14,14
PO2026060142,SUP037,银川西夏科技,B级,M0023,钽电容 10μF,原材料,颗,4874,0.03,146.22,2026/6/3,2026/6/17,2026/6/18,已完成,14,14
PO2026060143,SUP015,长沙中联科技,B级,M0024,贴片电阻 10kΩ,原材料,颗,3807,0.08,304.56,2026/4/21,2026/4/30,,已下达,9,9
PO2026060144,SUP019,合肥创新科技,C级,M0015,电源模块 5V2A,原材料,个,6242,32.19,200929.98,2026/2/12,2026/3/1,,已确认,17,17
PO2026060145,SUP003,上海精密机械,A级,M0037,EVA衬垫,原材料,片,2058,11.52,23708.16,2026/6/20,2026/7/4,,已下达,14,14
PO2026060146,SUP014,厦门恒信光电,A级,M0019,LED灯珠 暖白3000K,原材料,块,7781,166.9,1298648.9,2026/1/3,2026/1/16,,已确认,13,13
PO2026060147,SUP015,长沙中联科技,B级,M0043,传感器模块 陀螺仪,原材料,个,2054,3.45,7086.3,2026/1/8,2026/1/28,2026/1/28,已完成,20,20
PO2026060148,SUP006,杭州明远科技,B级,M0009,MCU STM32F103,原材料,颗,7835,0.01,78.35,2026/2/9,2026/2/24,,已下达,15,15
PO2026060149,SUP026,沈阳航天电子,B级,M0033,包装彩盒(大),原材料,条,6317,0.75,4737.75,2026/4/21,2026/5/10,2026/5/10,部分到货,19,19
PO2026060150,SUP036,兰州黄河电子,A级,M0038,电源线 1.5m,原材料,块,4606,35.58,163881.48,2026/2/12,2026/2/27,,已下达,15,15
PO2026060151,SUP005,苏州佳美电子,A级,M0007,ARM Cortex-A53芯片,原材料,罐,3783,142.71,539871.93,2026/2/26,2026/3/17,2026/3/14,已完成,19,19
PO2026060152,SUP015,长沙中联科技,B级,M0011,WiFi模块 802.11ac,原材料,颗,7357,0.35,2574.95,2026/4/25,2026/5/19,,草稿,24,24
PO2026060153,SUP033,海口南海科技,B级,M0025,贴片电阻 1kΩ,原材料,个,4445,2.8,12446,2026/5/11,2026/5/28,2026/5/28,部分到货,17,17
PO2026060154,SUP022,郑州中原电子,C级,M0040,USB数据线 Type-C,原材料,片,598,9.13,5459.74,2026/4/18,2026/4/28,,已下达,10,10
PO2026060155,SUP037,银川西夏科技,B级,M0028,晶振 32.768kHz,原材料,根,5497,0.54,2968.38,2026/5/24,2026/6/6,2026/6/4,部分到货,13,13
PO2026060156,SUP012,大连远东科技,B级,M0010,DSP处理器,原材料,颗,775,0.01,7.75,2026/1/24,2026/2/17,,已确认,24,24
PO2026060157,SUP001,深圳华腾电子,A级,M0043,传感器模块 陀螺仪,原材料,个,1380,3.46,4774.8,2026/6/5,2026/6/28,2026/6/30,已完成,23,23
PO2026060158,SUP002,东莞鑫盛塑胶,B级,M0024,贴片电阻 10kΩ,原材料,颗,1068,0.08,85.44,2026/1/21,2026/1/31,,已确认,10,10
PO2026060159,SUP012,大连远东科技,B级,M0031,TVS保护二极管,原材料,只,7243,0.58,4200.94,2026/2/13,2026/3/2,2026/3/7,部分到货,17,17
PO2026060160,SUP011,天津北方电子,A级,M0017,电源模块 24V2A,原材料,个,321,73.25,23513.25,2026/6/21,2026/7/9,2026/7/8,已完成,18,18
PO2026060161,SUP016,佛山顺德塑胶,A级,M0024,贴片电阻 10kΩ,原材料,颗,7502,0.07,525.14,2026/3/4,2026/3/26,,已确认,22,22
PO2026060162,SUP034,呼和浩特北方电子,C级,M0032,MOSFET NMOS,原材料,个,5125,3.45,17681.25,2026/2/28,2026/3/19,,已下达,19,19
PO2026060163,SUP030,贵阳西南科技,C级,M0042,传感器模块 气压,原材料,片,1306,4.87,6360.22,2026/3/22,2026/4/6,2026/4/9,已完成,15,15
PO2026060164,SUP025,长春一汽配件,A级,M0043,传感器模块 陀螺仪,原材料,个,7247,3.69,26741.43,2026/5/21,2026/6/5,2026/6/7,部分到货,15,15
PO2026060165,SUP019,合肥创新科技,C级,M0037,EVA衬垫,原材料,片,2876,12.43,35748.68,2026/4/6,2026/4/24,2026/4/24,部分到货,18,18
PO2026060166,SUP007,南京盛达光电,A级,M0035,包装彩盒(小),原材料,个,1554,45.07,70038.78,2026/6/28,2026/7/9,,已确认,11,11
PO2026060167,SUP005,苏州佳美电子,A级,M0019,LED灯珠 暖白3000K,原材料,块,402,172.24,69240.48,2026/3/10,2026/3/29,,已确认,19,19
PO2026060168,SUP035,乌鲁木齐天山科技,B级,M0045,显示屏 TFT 2.4寸,原材料,个,7545,14.66,110609.7,2026/6/4,2026/6/28,,已确认,24,24
PO2026060169,SUP001,深圳华腾电子,A级,M0021,电解电容 100μF,原材料,个,3829,0.16,612.64,2026/5/9,2026/5/31,,已下达,22,22
PO2026060170,SUP017,宁波华通电子,B级,M0025,贴片电阻 1kΩ,原材料,个,2263,2.26,5114.38,2026/3/27,2026/4/15,,已下达,19,19
